"","X","subjectID","l_fit","beta","tau","phi","block_nr","trial_nr","initial_opened","selected_choice","reward","average_reward","initial_opened_value","selected_choice_value","type","rewarded","trial_nr_c","block_nr_c","animal_opened","animal","prev_reward","distance_prev","distance","new_click","HV_click","logtrial","logdistance","logdistance_prev","loground","prev_reward_c","rres"
"20079",20079,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,26,2,152,146,33.9524346583198,45.9547816817071,"frog","fish","sell",TRUE,-8,11.5,"frog","fish",51.2736867928072,9.1633,9.1633,TRUE,FALSE,-1.3314272460025,1.00703474526004,1.00703474526004,0.965410184927821,0.0552324195990965,14.4483513674689
"20080",20080,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,26,3,152,294,54.1758183230902,47.5989890099837,"frog","opossum","sell",TRUE,-7,11.5,"frog","opossum",33.9524346583198,8.4653,5.1707,TRUE,FALSE,-0.970878522025556,0.790334432897675,0.976134383358434,0.965410184927821,-1.03873192868873,-2.87290076701846
"20081",20081,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,26,4,152,122,50.3858481040501,48.0634655256615,"frog","dormouse","sell",TRUE,-6,11.5,"frog","dormouse",54.1758183230902,4.9257,4.5736,TRUE,FALSE,-0.691215204793625,0.746135797526513,0.77273966070418,0.965410184927821,0.238523350504162,17.3504828977519
"20082",20082,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,26,5,152,160,50.7915255831036,48.4531883910104,"frog","genet","sell",TRUE,-5,11.5,"frog","genet",50.3858481040501,4.5736,0,FALSE,TRUE,-0.46271363674208,0,0.746135797526513,0.965410184927821,-0.000841117405603849,13.5605126787118
"20083",20083,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,26,6,152,1,33.6060337627696,46.5972940624803,"frog","adder","sell",TRUE,-4,11.5,"frog","adder",50.7915255831036,4.8747,3.9672,TRUE,FALSE,-0.269518313730731,0.696111646837927,0.768985693638038,0.965410184927821,0.0247803963014966,13.9661901577654
"20084",20084,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,26,7,152,11,59.0364424329751,47.9794216592019,"frog","antelope","sell",TRUE,-3,11.5,"frog","antelope",33.6060337627696,5.8117,5.4248,TRUE,FALSE,-0.102164912765138,0.807859612898539,0.83325551257101,0.965410184927821,-1.06060969058519,-3.21930166256865
"20085",20085,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,26,8,152,11,59.0904026343096,49.0905197567127,"frog","antelope","sell",TRUE,-2,11.5,"frog","antelope",59.0364424329751,0,0,FALSE,TRUE,0.0454512485413952,0,0,0.965410184927821,0.545507478750602,22.2111070076368
"20086",20086,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,26,9,152,217,51.3084581113862,49.2921505162285,"frog","kangaroo","sell",TRUE,-1,11.5,"frog","kangaroo",59.0904026343096,5.1081,4.1488,TRUE,FALSE,0.177498404466793,0.711706022418936,0.785906138582923,0.965410184927821,0.54891546196267,22.2650672089713
"20087",20087,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,26,10,152,378,44.4607728917852,48.8895357141915,"frog","silkworm","sell",TRUE,0,11.5,"frog","silkworm",51.3084581113862,5.3346,6.4833,TRUE,FALSE,0.296949586869625,0.874093156118792,0.801719196444815,0.965410184927821,0.0574284838658707,14.4831226860479
"20088",20088,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,26,11,152,295,46.7773370676827,48.7270588952293,"frog","orangutan","sell",TRUE,1,11.5,"frog","orangutan",44.4607728917852,6.903,4.4404,TRUE,FALSE,0.405999972518338,0.735630831942002,0.897791981939225,0.965410184927821,-0.375053154319267,7.63543746644692
