"","X","subjectID","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","bonus","trials","slope_score","slope_novel","slope_dprev","slope_dhv","slope_dprew"
"111",111,"f97x5a7b",0.661904761904762,1.18095238095238,106,106,104,65.0954545454546,0.883054545454547,210,0.597303599076965,-0.178070880690166,-0.0379913741730194,-0.166506562088965,-0.898238412642907
"112",112,"aqhlltdg",1.85238095238095,2.20952380952381,85,85,125,60.7227272727272,0.74312727272727,210,1.06223263904464,-0.294551020676429,-0.205281397161539,-0.273463172096525,-1.77088083986214
"113",113,"e8ga874k",1.28571428571429,1.22857142857143,144,144,65,54.4454545454545,0.542254545454544,210,0.161232506525652,-0.0459456726713484,-0.0160216777666684,-0.00761188623030215,-1.16614082499158
"114",114,"sm3b4qz5",2.30952380952381,2.56666666666667,0,0,210,58.2999999999999,0.665599999999997,210,0.244365805021699,-0.0521020001545129,-0.0507019546343697,-0.0119930173995425,-0.638200440228688
"115",115,"5q9pdlcx",2.34761904761905,2.60952380952381,10,10,195,53.5545454545453,0.51374545454545,210,0.540397997551617,-0.0454909742616057,-0.00095840296640301,-0.0176483390936459,-2.00233448169691
"116",116,"f421z9m5",2.77142857142857,2.18571428571429,3,3,193,47.9272727272726,0.333672727272723,210,0.879374088402674,-0.248233730491154,-0.182461318739455,-0.205932195468285,-0.989306820662818
"117",117,"9gmqg3ya",1.44761904761905,1.4047619047619,49,49,152,55.8500000000001,0.587200000000003,210,0.85952393934463,-0.244409460332679,-0.107042217403724,-0.181710982521417,-1.66047278837271
"118",118,"0u0s8efv",3.40952380952381,3.72380952380952,35,35,171,51.75,0.456,210,0.199439555360212,-0.0233570259689804,0.00927736719910822,0.00178313867054535,-0.257011908541228
"119",119,"po8p7b2t",2.95238095238095,3.10952380952381,3,3,204,51.1545454545455,0.436945454545456,210,0.991624596819542,-0.346556246991156,-0.209797701761276,-0.276151168600601,-1.36104270343702
"120",120,"ovbum0qq",2.7047619047619,2.92380952380952,1,1,208,52.5772727272728,0.48247272727273,210,0.407342505357322,0.0492201722446048,-0.00132631573281637,0.000600485793096933,-1.32108746515588
"121",121,"r1nr0t86",1.36666666666667,1.43333333333333,114,114,95,55.2454545454546,0.567854545454547,210,0.290984068375595,-0.043795963716527,-0.0332487643085617,-0.0327073578841006,-1.15702670343623
"122",122,"l1yxf867",2.58095238095238,3.13809523809524,4,4,205,50.7181818181817,0.422981818181814,210,-0.084305580945669,-0.0434483225363499,-0.00888845475162622,0.00171487717740276,-0.213069298558523
"123",123,"vqspl1ff",1.98095238095238,2.53809523809524,65,65,143,60.2681818181817,0.728581818181815,210,0.908764238896815,-0.276083833142939,-0.203501735423927,-0.243731625869864,-2.03006004004818
"124",124,"v6rahg9p",2.01904761904762,2.29047619047619,83,83,127,57.5727272727273,0.642327272727274,210,1.09855886158997,-0.463660148663453,-0.268530769757842,-0.329014797404787,-1.47079542625675
"125",125,"yjk4v9ot",1.16666666666667,1.52380952380952,148,148,62,57.9545454545454,0.654545454545453,210,0.971905233758193,-0.305294667203827,-0.180373638488472,-0.259114210194423,-1.64034603639734
"126",126,"lsedd4sa",3.2047619047619,3.04761904761905,25,25,180,52.6090909090909,0.483490909090909,210,0.515044356376496,-0.0452924225521803,-0.0215342896350426,-0.0159459825974344,-2.34755985557601
"127",127,"4aqbvkeg",0.70952380952381,1.0047619047619,162,162,44,57.3363636363636,0.634763636363635,210,0.177044074637666,-0.0849011465664812,-0.00418204526954799,0.00173405810671876,-1.35143184175785
"128",128,"3tfwxrwx",5.81428571428571,4.80952380952381,22,22,177,42.7409090909092,0.167709090909094,210,1.00716919980108,-0.407786323731397,-0.218748274596609,-0.29072909824121,-1.46979407540055
"129",129,"sn8pstys",2.08571428571429,1.81428571428571,10,10,191,44.7500000000001,0.232000000000003,210,0.211620066743306,-0.0901573722932032,-0.0425838521806746,-0.0838916428784268,-0.442483373534426
"130",130,"uex0utrw",2.4952380952381,2.87142857142857,77,77,131,54.8545454545456,0.555345454545459,210,1.26181562510568,-0.439854495529142,-0.273317028357677,-0.32639480047545,-2.07564408394524
"131",131,"pkvny0ef",3.0047619047619,1.97142857142857,16,16,179,41.8272727272728,0.13847272727273,210,0.693548044486173,-0.413256665528438,-0.1979799546063,-0.251538298861665,-1.24818769564553
"132",132,"fgkau3dc",3.00952380952381,2.9,4,4,201,52.7954545454545,0.489454545454544,210,0.596732235716086,-0.0748881599014465,-0.00350862002532537,-0.00173937723908481,-0.792732959736196
"133",133,"vsz9su7d",1.96190476190476,1.9047619047619,15,15,189,49.5545454545453,0.38574545454545,210,0.327992308188191,-0.20377695051191,-0.008202958373301,-0.0249512878813102,-0.671790476244988
"134",134,"ww3mrcvc",2.53333333333333,1.5,3,3,194,42.2999999999999,0.153599999999997,210,1.29427559316851,-0.337944279253114,-0.19339774683105,-0.276653220533014,-1.54184998369355
"135",135,"0dwelmb3",1.85238095238095,1.74761904761905,8,8,197,55.5909090909091,0.578909090909091,210,0.937979767517055,-0.302085298322135,-0.157956649023191,-0.179321517315277,-1.08179393956968
"136",136,"o1ev7h6r",1.4,1.48095238095238,135,135,74,59.7363636363638,0.711563636363642,210,0.566458566367053,-0.210671956417203,-0.0997321715906037,-0.155809182454941,-0.654835348092042
"137",137,"bf9my2xy",2.13809523809524,2,24,24,175,52.0318181818179,0.465018181818173,210,-0.0940291852302182,-0.0753242776769702,-0.00526635365416968,0.00366514801749009,-1.54378478872313
