"","X","subjectID","score","variation","variationR","bonus","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","trials","slope_score","slope_novel","slope_dprev","slope_dhv","slope_dprew"
"67",67,"hy9efhu6",52.5045454545455,33,28,0.720218181818184,0.883731428571429,1.01705761904762,168,168,42,210,0.466378460935417,-0.707756566341125,-0.187524730879041,-0.155368151929992,-0.799052127800576
"68",68,"t05dwmza",51.4772727272727,82,55,0.67090909090909,1.55374,2.20366714285714,136,134,74,210,0.52402585369986,-0.253814365617226,-0.0788481966320781,-0.198927443989729,-0.629693434999941
"69",69,"lp2mqb2q",51.45,18,16,0.6696,1.04255380952381,1.46056428571429,168,166,42,210,1.25415810994464,-0.418745231047733,-0.327385267217927,-0.31778030891391,-1.17346023114188
"70",70,"sjses643",54.3090909090909,61,51,0.806836363636363,0.889951904761905,1.08043238095238,154,154,56,210,0.746255548143592,-0.0991081521115481,-0.0924897035287304,-0.101884232234763,-1.22715937098577
"71",71,"lgtg6cjw",50.8727272727272,37,28,0.641890909090906,1.99955666666667,2.27567952380952,141,132,69,210,0.0106076812011837,-0.0861304190133217,-0.00411464242750423,-0.00267574746015758,-0.160434585947818
"72",72,"4m8m3pah",50.8318181818183,44,35,0.639927272727278,2.44596476190476,2.71501476190476,115,114,95,210,1.04196993872815,-0.22712496314331,-0.187833065826259,-0.240294628605716,-1.26762484718304
"73",73,"c9fy7x92",52.4,23,19,0.7152,1.41924857142857,1.9213519047619,164,164,46,210,0.87054329763191,-0.29496304176998,-0.22012875701413,-0.24466852750439,-1.2537604270299
"74",74,"lgyrvhz9",51.6681818181818,30,25,0.680072727272726,1.67434619047619,1.99417142857143,142,141,68,210,0.636556480886527,-0.42527497419879,-0.289875418372113,-0.25785713861454,-1.26788732977381
"75",75,"hanc2y2m",51.6181818181819,55,47,0.677672727272731,1.49440857142857,1.7523319047619,137,136,73,210,0.587861582997817,-0.236008545547305,-8.94282612540209e-06,-0.114072315700259,-0.259882585302094
"76",76,"wbxpjhzw",55.3636363636365,32,29,0.857454545454552,0.967705238095238,1.14708047619048,167,167,43,210,1.0683939726197,-0.325694478892515,-0.279251562494986,-0.291822833043983,-1.24435425454042
"77",77,"zaycgqlg",44.131818181818,126,103,0.318327272727264,4.21046238095238,4.44602142857143,3,3,207,210,0.157651016606122,0.00281965267871986,0.0061329106409948,0.00780109744703414,-0.453308737646502
"78",78,"f97x5a7b",47.6590909090909,53,44,0.487636363636363,1.68771,2.2245919047619,130,128,80,210,0.757815072219966,-0.303958038637947,-0.217750182152799,-0.206749110570076,-1.32928129522168
"79",79,"mte6huys",48.3681818181818,75,58,0.521672727272726,1.97898238095238,2.68648571428571,112,112,98,210,1.05337224690883,-0.347225988133299,-0.232563232524966,-0.297934263816808,-1.33209298724569
"80",80,"93cyuzq9",41.9454545454545,51,44,0.213381818181816,4.5757580952381,4.81672333333333,43,26,167,210,0.493685319823462,-0.246654906471275,-0.0205305988459115,-0.0913762330478178,-0.498376185134468
"81",81,"3zy8k7oh",54.3409090909091,48,38,0.808363636363637,1.72717,2.21835666666667,126,126,84,210,0.567674933478258,-0.245483368735212,-0.161776804950872,-0.176211794263413,-1.06576880181148
"82",82,"on1bl8yv",36.2045454545454,98,74,0,4.80576904761905,4.46950095238095,36,10,174,210,0.479122107209315,-0.110305385499712,-0.0728697477154925,-0.0475309125333456,-0.529354551204395
"83",83,"3f2c5lhp",52.7409090909092,69,48,0.731563636363642,1.09932333333333,1.58565523809524,149,148,61,210,0.536752595573619,-0.181482340560404,-0.00802113729942086,-0.136434154702145,-0.335912502766709
"84",84,"qkprp7u8",43.2772727272726,78,62,0.277309090909085,4.98022095238095,4.93048285714286,10,1,200,210,0.793308161676748,-0.424570352790491,-0.317382621322197,-0.323624875684279,-1.46511905550417
"85",85,"942rwz8e",53.0772727272728,31,21,0.747709090909095,1.27562238095238,1.58975857142857,160,159,50,210,0.323826810752068,-0.212260481936611,0.0101894378746596,-0.102700530908783,-0.173399250072719
"86",86,"okuug6ro",47.1681818181817,41,31,0.464072727272722,2.86016904761905,2.4841819047619,120,108,90,210,0.480579561550816,-0.197150176660685,-0.0920930920458422,-0.116069693452933,-1.52301969588776
"87",87,"1y6254d1",54.8090909090909,65,47,0.830836363636363,1.23836333333333,1.49923523809524,149,149,61,210,0.242499627058965,-0.101902010863105,-0.00398615570094105,-0.0131935486401047,-0.149394687880983
"88",88,"aqhlltdg",46.7909090909091,40,28,0.445963636363637,2.49183619047619,3.05590571428571,110,107,100,210,0.023001033688351,-0.446099121835136,-0.0156642783949394,-0.0154497333763928,-0.0222298756193982
"89",89,"s23q96aj",37.459090909091,72,61,0,5.07166476190476,4.48901190476191,8,3,202,210,1.02805804207849,-0.159324775772472,-0.120944163859809,-0.114707789198559,-1.50645171314665
"90",90,"70k36ppc",55.6954545454546,46,39,0.873381818181821,1.96789619047619,2.46302333333333,123,123,87,210,0.960802759022011,-0.275459742422497,-0.21244708426256,-0.262787888899366,-1.34986976449
"91",91,"28zss8zo",47.7954545454544,58,46,0.494181818181811,2.64421095238095,2.58216380952381,102,100,108,210,0.253150329724788,-0.163681371611369,-0.0871703440754708,-0.100282262058003,-0.477352558914684
"92",92,"4jsxpoh0",41.5272727272728,81,56,0.193309090909095,4.06109904761905,4.94893857142857,50,32,160,210,0.831955944074224,-0.161420478159293,-0.136761878344627,-0.141954593974619,-1.22080513418276
"93",93,"cm3vvtbb",53.6818181818183,32,25,0.776727272727278,1.35523619047619,1.54121476190476,148,148,62,210,0.320361032715041,-0.567203924259409,-0.157242535665866,-0.124792606763069,-0.448843953789026
